source_entry_id,ordinal,raw_target,raw_context,candidate_entry_id,candidate_headword,candidate_volume
Bd01_A-B:0298:0387,25,Wiener,Wiener Kreises schulmäßig inauguriert,Bd08_Th-Z:0519:0497,Wiener,Bd08_Th-Z
Bd01_A-B:0298:0387,25,Wiener,Wiener Kreises schulmäßig inauguriert,Bd08_Th-Z:0520:0498,Wiener Kreis,Bd08_Th-Z
Bd01_A-B:0308:0397,2,Kraft,Kraft eine systematische Priorität vor anderen physikalischen Beg,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0308:0397,2,Kraft,Kraft eine systematische Priorität vor anderen physikalischen Beg,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0321:0409,5,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0277:0379,ästhetisch/Ästhetik,Bd01_A-B
Bd01_A-B:0321:0409,5,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0288:0380,ästhetisch/Ästhetik (endeetisch),Bd01_A-B
Bd01_A-B:0324:0413,43,Begriffe,"Begriffe, abweichend vom heutigen Sprachgebrauch, als die BedeutungF",Bd01_A-B:0412:0515,"Begriffe, identische",Bd01_A-B
Bd01_A-B:0324:0413,43,Begriffe,"Begriffe, abweichend vom heutigen Sprachgebrauch, als die BedeutungF",Bd01_A-B:0412:0516,"Begriffe, theoretische",Bd01_A-B
Bd01_A-B:0324:0413,111,Implikationen,Implikationen,Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0324:0413,111,Implikationen,Implikationen,Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0324:0413,111,Implikationen,Implikationen,Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0324:0413,111,Implikationen,Implikationen,Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0324:0413,111,Implikationen,Implikationen,Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0324:0413,111,Implikationen,Implikationen,Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0331:0425,20,Zeichen,"Zeichen,",Bd08_Th-Z:0663:0583,Zeichen (logisch),Bd08_Th-Z
Bd01_A-B:0331:0425,20,Zeichen,"Zeichen,",Bd08_Th-Z:0665:0584,Zeichen (semiotisch),Bd08_Th-Z
Bd01_A-B:0358:0453,5,Kraft,Kraft,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0358:0453,5,Kraft,Kraft,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0358:0458,2,Wiener,Wiener Kreises auf dem Wege einer Einbettung in die Tradition des,Bd08_Th-Z:0518:0496,Wiener,Bd08_Th-Z
Bd01_A-B:0358:0458,2,Wiener,Wiener Kreises auf dem Wege einer Einbettung in die Tradition des,Bd08_Th-Z:0519:0497,Wiener,Bd08_Th-Z
Bd01_A-B:0358:0458,2,Wiener,Wiener Kreises auf dem Wege einer Einbettung in die Tradition des,Bd08_Th-Z:0520:0498,Wiener Kreis,Bd08_Th-Z
Bd01_A-B:0388:0494,5,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0277:0379,ästhetisch/Ästhetik,Bd01_A-B
Bd01_A-B:0388:0494,5,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0288:0380,ästhetisch/Ästhetik (endeetisch),Bd01_A-B
Bd01_A-B:0403:0506,7,Implikation,Implikation gesprochen und die Subjunktion demgegenüber materiale Impli,Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0403:0506,7,Implikation,Implikation gesprochen und die Subjunktion demgegenüber materiale Impli,Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0403:0506,7,Implikation,Implikation gesprochen und die Subjunktion demgegenüber materiale Impli,Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0403:0506,7,Implikation,Implikation gesprochen und die Subjunktion demgegenüber materiale Impli,Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0403:0506,7,Implikation,Implikation gesprochen und die Subjunktion demgegenüber materiale Impli,Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0403:0506,7,Implikation,Implikation gesprochen und die Subjunktion demgegenüber materiale Impli,Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0403:0506,8,Implikation,Implikation,Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0403:0506,8,Implikation,Implikation,Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0403:0506,8,Implikation,Implikation,Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0403:0506,8,Implikation,Implikation,Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0403:0506,8,Implikation,Implikation,Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0403:0506,8,Implikation,Implikation,Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0403:0506,12,Implikation,Implikation oder,Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0403:0506,12,Implikation,Implikation oder,Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0403:0506,12,Implikation,Implikation oder,Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0403:0506,12,Implikation,Implikation oder,Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0403:0506,12,Implikation,Implikation oder,Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0403:0506,12,Implikation,Implikation oder,Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0411:0514,5,Begriffe,Begriffe (notions individuelles,Bd01_A-B:0412:0515,"Begriffe, identische",Bd01_A-B
Bd01_A-B:0411:0514,5,Begriffe,Begriffe (notions individuelles,Bd01_A-B:0412:0516,"Begriffe, theoretische",Bd01_A-B
Bd01_A-B:0415:0519,16,Implikation,Implikation PaR ≺ QaR für einen beliebigen Terminus R gefolgert werden,Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0415:0519,16,Implikation,Implikation PaR ≺ QaR für einen beliebigen Terminus R gefolgert werden,Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0415:0519,16,Implikation,Implikation PaR ≺ QaR für einen beliebigen Terminus R gefolgert werden,Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0415:0519,16,Implikation,Implikation PaR ≺ QaR für einen beliebigen Terminus R gefolgert werden,Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0415:0519,16,Implikation,Implikation PaR ≺ QaR für einen beliebigen Terminus R gefolgert werden,Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0415:0519,16,Implikation,Implikation PaR ≺ QaR für einen beliebigen Terminus R gefolgert werden,Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0415:0522,2,Begriffe,Begriffe aus nicht weiter zerlegbaren Grundbegriffen zusammengesetzt,Bd01_A-B:0412:0515,"Begriffe, identische",Bd01_A-B
Bd01_A-B:0415:0522,2,Begriffe,Begriffe aus nicht weiter zerlegbaren Grundbegriffen zusammengesetzt,Bd01_A-B:0412:0516,"Begriffe, theoretische",Bd01_A-B
Bd01_A-B:0429:0538,1,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0277:0379,ästhetisch/Ästhetik,Bd01_A-B
Bd01_A-B:0429:0538,1,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0288:0380,ästhetisch/Ästhetik (endeetisch),Bd01_A-B
Bd01_A-B:0444:0553,0,Makrokosmos,Makrokosmos,Bd05_Log-N:0206:0132,Makrokosmos,Bd05_Log-N
Bd01_A-B:0444:0553,0,Makrokosmos,Makrokosmos,Bd05_Log-N:0207:0133,Makrokosmos,Bd05_Log-N
Bd01_A-B:0451:0562,0,Paradoxien,"Paradoxien (Calcul des probabilités, 1888",Bd06_O-Ra:0116:0091,"Paradoxien, kosmologische",Bd06_O-Ra
Bd01_A-B:0451:0562,0,Paradoxien,"Paradoxien (Calcul des probabilités, 1888",Bd06_O-Ra:0118:0092,"Paradoxien, zenonische",Bd06_O-Ra
Bd01_A-B:0451:0562,0,Paradoxien,"Paradoxien (Calcul des probabilités, 1888",Bd06_O-Ra:0121:0093,Paradoxien der Implikation,Bd06_O-Ra
Bd01_A-B:0451:0562,0,Paradoxien,"Paradoxien (Calcul des probabilités, 1888",Bd06_O-Ra:0121:0094,Paradoxien des Unendlichen,Bd06_O-Ra
Bd01_A-B:0457:0569,9,Paradoxien,"Paradoxien, die sich auch durch weitergehende Präzisierungen Carnaps n",Bd06_O-Ra:0116:0091,"Paradoxien, kosmologische",Bd06_O-Ra
Bd01_A-B:0457:0569,9,Paradoxien,"Paradoxien, die sich auch durch weitergehende Präzisierungen Carnaps n",Bd06_O-Ra:0118:0092,"Paradoxien, zenonische",Bd06_O-Ra
Bd01_A-B:0457:0569,9,Paradoxien,"Paradoxien, die sich auch durch weitergehende Präzisierungen Carnaps n",Bd06_O-Ra:0121:0093,Paradoxien der Implikation,Bd06_O-Ra
Bd01_A-B:0457:0569,9,Paradoxien,"Paradoxien, die sich auch durch weitergehende Präzisierungen Carnaps n",Bd06_O-Ra:0121:0094,Paradoxien des Unendlichen,Bd06_O-Ra
Bd01_A-B:0464:0581,0,Kräften,Kräften und Bewegungen von Massenpunkten oder Körpern,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0464:0581,0,Kräften,Kräften und Bewegungen von Massenpunkten oder Körpern,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0465:0583,53,Implikation,Implikation (,Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0465:0583,53,Implikation,Implikation (,Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0465:0583,53,Implikation,Implikation (,Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0465:0583,53,Implikation,Implikation (,Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0465:0583,53,Implikation,Implikation (,Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0465:0583,53,Implikation,Implikation (,Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0502:0633,8,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0192:0155,unendlich/Unendlichkeit,Bd08_Th-Z
Bd01_A-B:0502:0633,8,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0198:0157,"Unendlichkeit, schlechte",Bd08_Th-Z
Bd01_A-B:0530:0668,5,Kraft,Kraft,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0530:0668,5,Kraft,Kraft,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0533:0671,9,Makrokosmos,Makrokosmos,Bd05_Log-N:0206:0132,Makrokosmos,Bd05_Log-N
Bd01_A-B:0533:0671,9,Makrokosmos,Makrokosmos,Bd05_Log-N:0207:0133,Makrokosmos,Bd05_Log-N
Bd01_A-B:0534:0672,2,Kräften,Kräften zurück,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0534:0672,2,Kräften,Kräften zurück,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0541:0682,4,Makrokosmos,Makrokosmos,Bd05_Log-N:0206:0132,Makrokosmos,Bd05_Log-N
Bd01_A-B:0541:0682,4,Makrokosmos,Makrokosmos,Bd05_Log-N:0207:0133,Makrokosmos,Bd05_Log-N
Bd01_A-B:0541:0682,5,sensus,sensus com-,Bd07_Re-Te:0380:0298,sensus bonus,Bd07_Re-Te
Bd01_A-B:0541:0682,5,sensus,sensus com-,Bd07_Re-Te:0380:0299,sensus communis,Bd07_Re-Te
Bd01_A-B:0558:0699,8,Implikation,"Implikation,",Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0558:0699,8,Implikation,"Implikation,",Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0558:0699,8,Implikation,"Implikation,",Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0558:0699,8,Implikation,"Implikation,",Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0558:0699,8,Implikation,"Implikation,",Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0558:0699,8,Implikation,"Implikation,",Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0565:0707,2,Platonischen,Platonischen Körper im,Bd06_O-Ra:0360:0243,Platonische Akademie (Academia Platonica),Bd06_O-Ra
Bd01_A-B:0565:0707,2,Platonischen,Platonischen Körper im,Bd06_O-Ra:0361:0244,Platonische Körper,Bd06_O-Ra
Bd01_A-B:0570:0714,2,Zeichen,"Zeichen, semiotisch",Bd08_Th-Z:0663:0583,Zeichen (logisch),Bd08_Th-Z
Bd01_A-B:0570:0714,2,Zeichen,"Zeichen, semiotisch",Bd08_Th-Z:0665:0584,Zeichen (semiotisch),Bd08_Th-Z
Bd01_A-B:0577:0723,8,Paradoxien,"Paradoxien (Sophismata, 1489",Bd06_O-Ra:0116:0091,"Paradoxien, kosmologische",Bd06_O-Ra
Bd01_A-B:0577:0723,8,Paradoxien,"Paradoxien (Sophismata, 1489",Bd06_O-Ra:0118:0092,"Paradoxien, zenonische",Bd06_O-Ra
Bd01_A-B:0577:0723,8,Paradoxien,"Paradoxien (Sophismata, 1489",Bd06_O-Ra:0121:0093,Paradoxien der Implikation,Bd06_O-Ra
Bd01_A-B:0577:0723,8,Paradoxien,"Paradoxien (Sophismata, 1489",Bd06_O-Ra:0121:0094,Paradoxien des Unendlichen,Bd06_O-Ra
Bd01_A-B:0579:0725,7,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0277:0379,ästhetisch/Ästhetik,Bd01_A-B
Bd01_A-B:0579:0725,7,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0288:0380,ästhetisch/Ästhetik (endeetisch),Bd01_A-B
Bd02_C-F:0028:0015,0,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0192:0155,unendlich/Unendlichkeit,Bd08_Th-Z
Bd02_C-F:0028:0015,0,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0198:0157,"Unendlichkeit, schlechte",Bd08_Th-Z
Bd02_C-F:0029:0017,0,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0192:0155,unendlich/Unendlichkeit,Bd08_Th-Z
Bd02_C-F:0029:0017,0,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0198:0157,"Unendlichkeit, schlechte",Bd08_Th-Z
Bd02_C-F:0030:0019,9,Antinomien,Antinomien sowie bei den Unvollständigkeits- und Unentscheidbarkeitsbe,Bd01_A-B:0186:0253,"Antinomien, logische",Bd01_A-B
Bd02_C-F:0030:0019,9,Antinomien,Antinomien sowie bei den Unvollständigkeits- und Unentscheidbarkeitsbe,Bd01_A-B:0187:0254,"Antinomien, semantische",Bd01_A-B
Bd02_C-F:0030:0019,9,Antinomien,Antinomien sowie bei den Unvollständigkeits- und Unentscheidbarkeitsbe,Bd01_A-B:0188:0255,Antinomien der Mengenlehre,Bd01_A-B
Bd02_C-F:0034:0023,2,Wiener,"Wiener Kreises, dessen Aktivitäten er mit denen der maßgeblich von",Bd08_Th-Z:0518:0496,Wiener,Bd08_Th-Z
Bd02_C-F:0034:0023,2,Wiener,"Wiener Kreises, dessen Aktivitäten er mit denen der maßgeblich von",Bd08_Th-Z:0519:0497,Wiener,Bd08_Th-Z
Bd02_C-F:0034:0023,2,Wiener,"Wiener Kreises, dessen Aktivitäten er mit denen der maßgeblich von",Bd08_Th-Z:0520:0498,Wiener Kreis,Bd08_Th-Z
Bd02_C-F:0039:0025,2,Paradoxien,"Paradoxien in so meisterhafter Weise, daß Charaktere und Zitate aus di",Bd06_O-Ra:0116:0091,"Paradoxien, kosmologische",Bd06_O-Ra
Bd02_C-F:0039:0025,2,Paradoxien,"Paradoxien in so meisterhafter Weise, daß Charaktere und Zitate aus di",Bd06_O-Ra:0118:0092,"Paradoxien, zenonische",Bd06_O-Ra
Bd02_C-F:0039:0025,2,Paradoxien,"Paradoxien in so meisterhafter Weise, daß Charaktere und Zitate aus di",Bd06_O-Ra:0121:0093,Paradoxien der Implikation,Bd06_O-Ra
Bd02_C-F:0039:0025,2,Paradoxien,"Paradoxien in so meisterhafter Weise, daß Charaktere und Zitate aus di",Bd06_O-Ra:0121:0094,Paradoxien des Unendlichen,Bd06_O-Ra
Bd02_C-F:0053:0041,2,Erlanger,Erlanger Programms an,Bd02_C-F:0407:0458,Erlanger Programm,Bd02_C-F
Bd02_C-F:0053:0041,2,Erlanger,Erlanger Programms an,Bd02_C-F:0408:0459,Erlanger Schule,Bd02_C-F
Bd02_C-F:0065:0059,17,Wiener,Wiener Kreises (,Bd08_Th-Z:0518:0496,Wiener,Bd08_Th-Z
Bd02_C-F:0065:0059,17,Wiener,Wiener Kreises (,Bd08_Th-Z:0519:0497,Wiener,Bd08_Th-Z
Bd02_C-F:0065:0059,17,Wiener,Wiener Kreises (,Bd08_Th-Z:0520:0498,Wiener Kreis,Bd08_Th-Z
Bd02_C-F:0065:0059,29,Relativitätstheorie,Relativitätstheorie allgemeine,Bd07_Re-Te:0101:0079,"Relativitätstheorie, allgemeine",Bd07_Re-Te
Bd02_C-F:0065:0059,29,Relativitätstheorie,Relativitätstheorie allgemeine,Bd07_Re-Te:0105:0080,"Relativitätstheorie, spezielle",Bd07_Re-Te
Bd02_C-F:0076:0073,5,Strukturalismus,Strukturalismus (philosophisch/ wissenschaftstheoretisch,Bd07_Re-Te:0566:0465,"Strukturalismus (philosophisch, wissenschaftstheoretisch)",Bd07_Re-Te
Bd02_C-F:0076:0073,5,Strukturalismus,Strukturalismus (philosophisch/ wissenschaftstheoretisch,Bd07_Re-Te:0573:0466,"Strukturalismus, mathematischer",Bd07_Re-Te
Bd02_C-F:0079:0076,12,Kraft,Kraft,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd02_C-F:0079:0076,12,Kraft,Kraft,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd02_C-F:0088:0086,6,Paradoxien,Paradoxien zählenden – grammatischen Antinomien (,Bd06_O-Ra:0116:0091,"Paradoxien, kosmologische",Bd06_O-Ra
Bd02_C-F:0088:0086,6,Paradoxien,Paradoxien zählenden – grammatischen Antinomien (,Bd06_O-Ra:0118:0092,"Paradoxien, zenonische",Bd06_O-Ra
Bd02_C-F:0088:0086,6,Paradoxien,Paradoxien zählenden – grammatischen Antinomien (,Bd06_O-Ra:0121:0093,Paradoxien der Implikation,Bd06_O-Ra
Bd02_C-F:0088:0086,6,Paradoxien,Paradoxien zählenden – grammatischen Antinomien (,Bd06_O-Ra:0121:0094,Paradoxien des Unendlichen,Bd06_O-Ra
Bd02_C-F:0089:0089,5,Kräfte,Kräfte möglich,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd02_C-F:0089:0089,5,Kräfte,Kräfte möglich,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd02_C-F:0104:0109,1,Kraft,Kraft,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd02_C-F:0104:0109,1,Kraft,Kraft,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd02_C-F:0108:0116,19,De,De Morganschen Gesetze bekannt,Bd02_C-F:0147:0164,de dicto/de re,Bd02_C-F
Bd02_C-F:0108:0116,19,De,De Morganschen Gesetze bekannt,Bd02_C-F:0147:0164,de dicto/de re,Bd02_C-F
Bd02_C-F:0108:0116,19,De,De Morganschen Gesetze bekannt,Bd02_C-F:0171:0192,De Morgansche Gesetze,Bd02_C-F
Bd02_C-F:0108:0116,25,Implikationen,"Implikationen, strikte",Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd02_C-F:0108:0116,25,Implikationen,"Implikationen, strikte",Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd02_C-F:0108:0116,25,Implikationen,"Implikationen, strikte",Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
