lemma_key,lemma,entry_id,volume,variant_type
achilles und die schildkrote,Achilles und die Schildkröte,Bd01_A-B:0053:0046,Bd01_A-B,primary
achillini,Achillini,Bd01_A-B:0054:0047,Bd01_A-B,primary
achsenzeit,Achsenzeit,Bd01_A-B:0054:0048,Bd01_A-B,primary
achtung,Achtung,Bd01_A-B:0055:0049,Bd01_A-B,primary
ackermann,Ackermann,Bd01_A-B:0055:0050,Bd01_A-B,primary
acontius,Acontius,Bd01_A-B:0056:0051,Bd01_A-B,primary
actio,actio,Bd01_A-B:0056:0052,Bd01_A-B,primary
actio = reactio,actio = reactio,Bd01_A-B:0057:0055,Bd01_A-B,primary
actio in distans,actio in distans,Bd01_A-B:0056:0053,Bd01_A-B,primary
actio minima,actio minima,Bd01_A-B:0057:0054,Bd01_A-B,primary
actio minima,actio minima,Bd06_O-Ra:0454:0346,Bd01_A-B,redirect_alias
actu,actu,Bd01_A-B:0058:0056,Bd01_A-B,primary
actualitas,actualitas,Bd01_A-B:0058:0057,Bd01_A-B,primary
actus,actus,Bd01_A-B:0058:0058,Bd01_A-B,primary
ad-hoc-hypothese,ad-hoc-Hypothese,Bd01_A-B:0060:0066,Bd01_A-B,primary
adaequatio,adaequatio,Bd01_A-B:0058:0060,Bd01_A-B,primary
adamische sprache,adamische Sprache,Bd07_Re-Te:0503:0414,Bd07_Re-Te,comma_inverted
adaquat,adäquat,Bd01_A-B:0058:0059,Bd01_A-B,slash_half
adaquat/adaquatheit,adäquat/Adäquatheit,Bd01_A-B:0058:0059,Bd01_A-B,primary
adaquate verursachung,adäquate Verursachung,Bd08_Th-Z:0341:0321,Bd08_Th-Z,comma_inverted
adaquatheit,Adäquatheit,Bd01_A-B:0058:0059,Bd01_A-B,slash_half
adaquationstheorie,Adäquationstheorie,Bd01_A-B:0059:0061,Bd01_A-B,primary
addition logisch,Addition (logisch),Bd01_A-B:0059:0062,Bd01_A-B,primary
addition mathematisch,Addition (mathematisch),Bd01_A-B:0059:0063,Bd01_A-B,primary
"additionssatz, spezieller","Additionssatz, spezieller",Bd01_A-B:0059:0064,Bd01_A-B,primary
adelard von bath,Adelard von Bath,Bd01_A-B:0059:0065,Bd01_A-B,primary
adiaphora,Adiaphora,Bd01_A-B:0061:0067,Bd01_A-B,primary
adickes,Adickes,Bd01_A-B:0061:0068,Bd01_A-B,primary
adjunktion,Adjunktion,Bd01_A-B:0062:0070,Bd01_A-B,primary
adjunktor,Adjunktor,Bd01_A-B:0062:0071,Bd01_A-B,primary
